microSkillId,domain,description,yearMin,yearMax,defaultDifficultyBands,curriculumRef
WRITE-IDEA-RELEVANCE-FOCUS,WRITE,Maintain relevance and focus in writing,2,6,"[""CORE""]","[""AC9E2LY03""]"
WRITE-IDEA-ELABORATION-DETAIL,WRITE,Elaborate ideas with supporting details,3,9,"[""CORE""]","[""AC9E3LY02""]"
WRITE-IDEA-SELECT-EXAMPLES-EVIDENCE,WRITE,Select appropriate examples and evidence,4,9,"[""CORE"",""STRETCH""]","[""AC9E4LY01""]"
WRITE-STRUCT-BEGINNING-MIDDLE-END,WRITE,Structure writing with beginning middle end,1,3,"[""FOUNDATION""]","[""AC9E1LC01""]"
WRITE-STRUCT-PARAGRAPHING,WRITE,Organise writing into paragraphs,3,6,"[""CORE""]","[""AC9E3LC01""]"
WRITE-STRUCT-LOGICAL-SEQUENCING,WRITE,Sequence ideas logically,3,7,"[""CORE""]","[""AC9E3LC02""]"
WRITE-STRUCT-INTRODUCTION-CONCLUSION,WRITE,Write effective introductions and conclusions,4,9,"[""CORE""]","[""AC9E4LC01""]"
WRITE-STRUCT-COHESIVE-DEVICES,WRITE,Use cohesive devices to link ideas,4,9,"[""CORE""]","[""AC9E4LC02""]"
WRITE-SENT-SIMPLE-SENTENCES,WRITE,Write simple sentences correctly,1,3,"[""FOUNDATION""]","[""AC9E1LA04""]"
WRITE-SENT-COMPOUND-SENTENCES,WRITE,Write compound sentences,2,5,"[""CORE""]","[""AC9E2LA04""]"
WRITE-SENT-COMPLEX-SENTENCES,WRITE,Write complex sentences,4,9,"[""CORE""]","[""AC9E4LA07""]"
WRITE-SENT-VARIETY-FOR-EFFECT,WRITE,Vary sentence structure for effect,5,9,"[""CORE"",""STRETCH""]","[""AC9E5LA03""]"
WRITE-VOC-APPROPRIATE-WORD-CHOICE,WRITE,Choose appropriate vocabulary,1,4,"[""FOUNDATION"",""CORE""]","[""AC9E1LA05""]"
WRITE-VOC-PRECISE-LANGUAGE,WRITE,Use precise and specific language,3,9,"[""CORE""]","[""AC9E3LA06""]"
WRITE-VOC-FIGURATIVE-LANGUAGE,WRITE,Use figurative language effectively,4,9,"[""CORE"",""STRETCH""]","[""AC9E4LA08""]"
WRITE-VOC-TONE-CONSISTENCY,WRITE,Maintain consistent tone in writing,5,9,"[""CORE""]","[""AC9E5LA04""]"
WRITE-PURPOSE-IDENTIFY-TASK,WRITE,Identify purpose and task requirements,2,5,"[""CORE""]","[""AC9E2LC02""]"
WRITE-AUDIENCE-AWARENESS,WRITE,Write for specific audiences,3,9,"[""CORE""]","[""AC9E3LC03""]"
WRITE-VOICE-ENGAGEMENT,WRITE,Develop engaging voice in writing,4,9,"[""CORE""]","[""AC9E4LC03""]"
WRITE-VOICE-PERSUASIVE-STANCE,WRITE,Adopt persuasive stance in writing,5,9,"[""CORE"",""STRETCH""]","[""AC9E5LC01""]"
WRITE-TEXT-NARRATIVE-STRUCTURE,WRITE,Structure narrative texts effectively,1,6,"[""CORE""]","[""AC9E1LC02""]"
WRITE-TEXT-NARRATIVE-CHARACTER-DEVELOPMENT,WRITE,Develop characters in narratives,3,9,"[""CORE""]","[""AC9E3LC04""]"
WRITE-TEXT-NARRATIVE-TENSION,WRITE,Build tension in narratives,4,9,"[""STRETCH""]","[""AC9E4LC04""]"
WRITE-TEXT-INFORMATIVE-STRUCTURE,WRITE,Structure informative texts,2,7,"[""CORE""]","[""AC9E2LC03""]"
WRITE-TEXT-INFORMATIVE-CLARITY,WRITE,Write informative texts with clarity,3,9,"[""CORE""]","[""AC9E3LC05""]"
WRITE-TEXT-PERSUASIVE-ARGUMENT,WRITE,Construct persuasive arguments,3,9,"[""CORE""]","[""AC9E3LC06""]"
WRITE-TEXT-PERSUASIVE-EVIDENCE,WRITE,Support arguments with evidence,4,9,"[""CORE""]","[""AC9E4LC05""]"
WRITE-TEXT-PERSUASIVE-COUNTERARGUMENT,WRITE,Address counterarguments,6,9,"[""STRETCH""]","[""AC9E6LC01""]"
WRITE-COHESION-LINKING-WORDS,WRITE,Use linking words and phrases,2,5,"[""CORE""]","[""AC9E2LA05""]"
WRITE-COHESION-REFERENCE-CHAINS,WRITE,Use reference chains for cohesion,4,9,"[""CORE""]","[""AC9E4LA09""]"
WRITE-COHESION-PARAGRAPH-FLOW,WRITE,Create flow between paragraphs,4,9,"[""CORE""]","[""AC9E4LC06""]"
WRITE-PROCESS-PLANNING,WRITE,Plan writing before drafting,2,9,"[""CORE""]","[""AC9E2LC04""]"
WRITE-PROCESS-DRAFTING,WRITE,Draft writing fluently,2,9,"[""CORE""]","[""AC9E2LC05""]"
WRITE-PROCESS-REVISING-CONTENT,WRITE,Revise writing for content and clarity,3,9,"[""CORE""]","[""AC9E3LC07""]"
WRITE-PROCESS-EDITING-FEEDBACK,WRITE,Edit writing and respond to feedback,4,9,"[""CORE""]","[""AC9E4LC07""]"
WRITE-PROCESS-INDEPENDENT-REDRAFTING,WRITE,Independently redraft and improve writing,5,9,"[""CORE"",""STRETCH""]","[""AC9E5LC02""]"
WRITE-DIGITAL-MULTIMODAL-INTEGRATION,WRITE,Integrate multimodal elements in writing,4,9,"[""CORE""]","[""AC9E4LC08""]"
WRITE-DIGITAL-STRUCTURE-ONLINE-TEXTS,WRITE,Structure texts for online contexts,5,9,"[""CORE""]","[""AC9E5LC03""]"
WRITE-STRETCH-SYNTHESISE-SOURCES,WRITE,Synthesise multiple sources in writing,8,9,"[""STRETCH""]","[""AC9E8LC01""]"
WRITE-STRETCH-ABSTRACT-CONCEPTS,WRITE,Write about abstract concepts,8,9,"[""STRETCH""]","[""AC9E8LC02""]"
WRITE-STRETCH-STYLE-EXPERIMENTATION,WRITE,Experiment with writing style,9,9,"[""STRETCH""]","[""AC9E9LC01""]"
GRAM-POS-NOUNS-COMMON-PROPER,GRAM,Identify and use common and proper nouns,1,3,"[""FOUNDATION""]","[""AC9E1LA06""]"
GRAM-POS-PRONOUNS-REFERENCE,GRAM,Use pronouns with clear reference,2,5,"[""CORE""]","[""AC9E2LA06""]"
GRAM-POS-VERBS-TENSES,GRAM,Use verb tenses correctly,1,5,"[""CORE""]","[""AC9E1LA07""]"
GRAM-POS-VERBS-AUXILIARY-MODAL,GRAM,Use auxiliary and modal verbs,3,7,"[""CORE""]","[""AC9E3LA07""]"
GRAM-POS-ADJECTIVES-MODIFIERS,GRAM,Use adjectives and modifiers effectively,1,4,"[""FOUNDATION"",""CORE""]","[""AC9E1LA08""]"
GRAM-POS-ADVERBS-FUNCTION,GRAM,Use adverbs to modify verbs and adjectives,2,6,"[""CORE""]","[""AC9E2LA07""]"
GRAM-POS-PREPOSITIONS,GRAM,Use prepositions correctly,3,6,"[""CORE""]","[""AC9E3LA08""]"
GRAM-POS-CONJUNCTIONS-COORD-SUBORD,GRAM,Use coordinating and subordinating conjunctions,3,6,"[""CORE""]","[""AC9E3LA09""]"
GRAM-SENT-SUBJECT-PREDICATE,GRAM,Identify subject and predicate,1,3,"[""FOUNDATION""]","[""AC9E1LA09""]"
GRAM-SENT-SIMPLE-STRUCTURE,GRAM,Construct simple sentence structures,1,3,"[""FOUNDATION""]","[""AC9E1LA10""]"
GRAM-SENT-COMPOUND-STRUCTURE,GRAM,Construct compound sentence structures,2,5,"[""CORE""]","[""AC9E2LA08""]"
GRAM-SENT-COMPLEX-STRUCTURE,GRAM,Construct complex sentence structures,4,9,"[""CORE""]","[""AC9E4LA10""]"
GRAM-SENT-CLAUSES-INDEPENDENT-DEPENDENT,GRAM,Identify and use independent and dependent clauses,4,9,"[""CORE""]","[""AC9E4LA11""]"
GRAM-SENT-EMBEDDED-RELATIVE-CLAUSES,GRAM,Use embedded and relative clauses,6,9,"[""CORE"",""STRETCH""]","[""AC9E6LA02""]"
GRAM-AGREE-SUBJECT-VERB,GRAM,Ensure subject-verb agreement,2,6,"[""CORE""]","[""AC9E2LA09""]"
GRAM-AGREE-PRONOUN-ANTECEDENT,GRAM,Ensure pronoun-antecedent agreement,3,7,"[""CORE""]","[""AC9E3LA10""]"
GRAM-AGREE-TENSE-CONSISTENCY,GRAM,Maintain tense consistency,3,9,"[""CORE""]","[""AC9E3LA11""]"
GRAM-PUNC-CAPITAL-LETTERS,GRAM,Use capital letters correctly,1,3,"[""FOUNDATION""]","[""AC9E1LA11""]"
GRAM-PUNC-FULL-STOP-QUESTION-EXCLAMATION,GRAM,Use full stops question marks and exclamation marks,1,3,"[""FOUNDATION""]","[""AC9E1LA12""]"
GRAM-PUNC-COMMAS-IN-LISTS,GRAM,Use commas in lists,2,4,"[""CORE""]","[""AC9E2LA10""]"
GRAM-PUNC-COMMAS-CLAUSES,GRAM,Use commas to separate clauses,4,7,"[""CORE""]","[""AC9E4LA12""]"
GRAM-PUNC-APOSTROPHE-POSSESSION-CONTRACTION,GRAM,Use apostrophes for possession and contraction,2,6,"[""CORE""]","[""AC9E2LA11""]"
GRAM-PUNC-QUOTATION-MARKS-DIALOGUE,GRAM,Use quotation marks for dialogue,3,7,"[""CORE""]","[""AC9E3LA12""]"
GRAM-PUNC-COLON-SEMICOLON,GRAM,Use colons and semicolons,5,9,"[""CORE""]","[""AC9E5LA05""]"
GRAM-PUNC-DASH-PARENTHESES,GRAM,Use dashes and parentheses,6,9,"[""CORE"",""STRETCH""]","[""AC9E6LA03""]"
GRAM-VERB-TENSES-PAST-PRESENT-FUTURE,GRAM,Use past present and future tenses,1,5,"[""CORE""]","[""AC9E1LA13""]"
GRAM-VERB-PERFECT-PROGRESSIVE,GRAM,Use perfect and progressive tenses,4,8,"[""CORE""]","[""AC9E4LA13""]"
GRAM-VOICE-ACTIVE-PASSIVE,GRAM,Use active and passive voice appropriately,6,9,"[""CORE""]","[""AC9E6LA04""]"
GRAM-COHESION-REFERENCE-PRONOUNS,GRAM,Use pronouns for cohesion,3,6,"[""CORE""]","[""AC9E3LA13""]"
GRAM-COHESION-SUBSTITUTION-ELLIPSIS,GRAM,Use substitution and ellipsis for cohesion,6,9,"[""CORE""]","[""AC9E6LA05""]"
GRAM-COHESION-CONJUNCTIVE-ADVERBS,GRAM,Use conjunctive adverbs for cohesion,5,9,"[""CORE""]","[""AC9E5LA06""]"
GRAM-CLARITY-RUN-ON-SENTENCES,GRAM,Avoid run-on sentences,3,6,"[""CORE""]","[""AC9E3LA14""]"
GRAM-CLARITY-SENTENCE-FRAGMENTS,GRAM,Avoid sentence fragments,3,6,"[""CORE""]","[""AC9E3LA15""]"
GRAM-CLARITY-PARALLEL-STRUCTURE,GRAM,Use parallel structure,5,9,"[""CORE""]","[""AC9E5LA07""]"
GRAM-STYLE-SENTENCE-EMPHASIS,GRAM,Create emphasis through sentence structure,5,9,"[""CORE""]","[""AC9E5LA08""]"
GRAM-STYLE-NOMINALISATION,GRAM,Use nominalisation effectively,6,9,"[""CORE""]","[""AC9E6LA06""]"
GRAM-STYLE-VARIATION-FOR-EFFECT,GRAM,Vary grammar for stylistic effect,6,9,"[""CORE"",""STRETCH""]","[""AC9E6LA07""]"
GRAM-STRETCH-COMPLEX-SENTENCE-MANIPULATION,GRAM,Manipulate complex sentence structures,8,9,"[""STRETCH""]","[""AC9E8LA01""]"
GRAM-STRETCH-RHETORICAL-SYNTAX,GRAM,Use rhetorical syntax for effect,9,9,"[""STRETCH""]","[""AC9E9LA01""]"
SPELL-PHON-PHONEME-GRAPHEME-CORRESPONDENCE,SPELL,Map phonemes to graphemes,1,2,"[""FOUNDATION""]","[""AC9E1LY04""]"
SPELL-PHON-SHORT-LONG-VOWELS,SPELL,Spell words with short and long vowels,1,3,"[""FOUNDATION""]","[""AC9E1LY05""]"
SPELL-PHON-CONSONANT-DIGRAPHS,SPELL,Spell words with consonant digraphs,1,3,"[""FOUNDATION""]","[""AC9E1LY06""]"
SPELL-PHON-VOWEL-DIGRAPHS,SPELL,Spell words with vowel digraphs,2,4,"[""FOUNDATION"",""CORE""]","[""AC9E2LY04""]"
SPELL-PHON-SYLLABLE-SEGMENTATION,SPELL,Segment words into syllables for spelling,2,4,"[""CORE""]","[""AC9E2LY05""]"
SPELL-ORTH-CVC-CVCC-PATTERNS,SPELL,Spell CVC and CVCC pattern words,1,2,"[""FOUNDATION""]","[""AC9E1LY07""]"
SPELL-ORTH-COMMON-WORD-PATTERNS,SPELL,Spell words with common patterns,2,4,"[""CORE""]","[""AC9E2LY06""]"
SPELL-ORTH-DOUBLING-CONSONANTS,SPELL,Apply doubling consonant rules,3,6,"[""CORE""]","[""AC9E3LY03""]"
SPELL-ORTH-DROP-E-RULE,SPELL,Apply drop-e spelling rule,3,6,"[""CORE""]","[""AC9E3LY04""]"
SPELL-ORTH-CHANGE-Y-TO-I,SPELL,Apply change-y-to-i spelling rule,3,6,"[""CORE""]","[""AC9E3LY05""]"
SPELL-HFW-HIGH-FREQUENCY-WORDS,SPELL,Spell high-frequency words correctly,1,3,"[""FOUNDATION""]","[""AC9E1LY08""]"
SPELL-HFW-IRREGULAR-WORDS,SPELL,Spell irregular high-frequency words,2,5,"[""CORE""]","[""AC9E2LY07""]"
SPELL-HFW-AUTOMATICITY,SPELL,Spell common words automatically,2,6,"[""CORE""]","[""AC9E2LY08""]"
SPELL-MORPH-BASE-WORDS,SPELL,Identify and spell base words,2,4,"[""CORE""]","[""AC9E2LY09""]"
SPELL-MORPH-PREFIXES,SPELL,Spell words with common prefixes,3,7,"[""CORE""]","[""AC9E3LY06""]"
SPELL-MORPH-SUFFIXES,SPELL,Spell words with common suffixes,3,7,"[""CORE""]","[""AC9E3LY07""]"
SPELL-MORPH-INFLECTIONAL-ENDINGS,SPELL,Spell words with inflectional endings,2,5,"[""CORE""]","[""AC9E2LY10""]"
SPELL-MORPH-DERIVATIONAL-MORPHEMES,SPELL,Spell words with derivational morphemes,5,9,"[""CORE"",""STRETCH""]","[""AC9E5LY01""]"
SPELL-VOC-BASIC-TIER-1-WORDS,SPELL,Use and spell basic Tier 1 vocabulary,1,3,"[""FOUNDATION""]","[""AC9E1LY09""]"
SPELL-VOC-ACADEMIC-TIER-2-WORDS,SPELL,Use and spell Tier 2 academic vocabulary,3,9,"[""CORE""]","[""AC9E3LY08""]"
SPELL-VOC-DOMAIN-SPECIFIC-TIER-3,SPELL,Use and spell Tier 3 domain-specific vocabulary,5,9,"[""CORE""]","[""AC9E5LY02""]"
SPELL-VOC-MULTIPLE-MEANINGS,SPELL,Understand and use words with multiple meanings,3,7,"[""CORE""]","[""AC9E3LY09""]"
SPELL-VOC-SYNONYMS-ANTONYMS,SPELL,Use synonyms and antonyms,2,6,"[""CORE""]","[""AC9E2LY11""]"
SPELL-VOC-WORD-CONNOTATION,SPELL,Understand word connotation,4,9,"[""CORE""]","[""AC9E4LY01""]"
SPELL-VOC-COLLOCATION,SPELL,Use collocations appropriately,5,9,"[""CORE""]","[""AC9E5LY03""]"
SPELL-VOC-PRECISION-CHOICE,SPELL,Choose precise vocabulary,4,9,"[""CORE""]","[""AC9E4LY02""]"
SPELL-ETY-GREEK-LATIN-ROOTS,SPELL,Use Greek and Latin roots to spell and understand words,5,9,"[""CORE""]","[""AC9E5LY04""]"
SPELL-ETY-ORIGIN-OF-WORDS,SPELL,Understand word origins and etymology,6,9,"[""CORE""]","[""AC9E6LY01""]"
SPELL-ETY-AFFIX-MEANING-TRANSFER,SPELL,Transfer affix meanings to new words,6,9,"[""CORE"",""STRETCH""]","[""AC9E6LY02""]"
SPELL-STRAT-LOOK-SAY-COVER-WRITE-CHECK,SPELL,Use look-say-cover-write-check strategy,1,3,"[""FOUNDATION""]","[""AC9E1LY10""]"
SPELL-STRAT-MORPHOLOGICAL-ANALYSIS,SPELL,Use morphological analysis for spelling,3,9,"[""CORE""]","[""AC9E3LY10""]"
SPELL-STRAT-DICTIONARY-THESAURUS-USE,SPELL,Use dictionary and thesaurus effectively,4,9,"[""CORE""]","[""AC9E4LY03""]"
SPELL-STRAT-PROOFREAD-EDIT,SPELL,Proofread and edit for spelling errors,3,9,"[""CORE""]","[""AC9E3LY11""]"
SPELL-STRETCH-SEMANTIC-SHIFT,SPELL,Understand semantic shift in vocabulary,8,9,"[""STRETCH""]","[""AC9E8LY01""]"
SPELL-STRETCH-REGISTER-FORMALITY,SPELL,Adjust vocabulary for register and formality,8,9,"[""STRETCH""]","[""AC9E8LY02""]"
SPELL-STRETCH-DISCIPLINE-SPECIFIC-LANGUAGE,SPELL,Use discipline-specific academic language,9,9,"[""STRETCH""]","[""AC9E9LY01""]"
